record_id,screenshot_file,source,visible_date_label,cleaned_text,redactions_applied,notes
20,precleaned\Bernard - April 21 - 22 Imgs\IMG_8479.PNG,Lazada,"Wed, 18 Feb at 11:39 AM","Get a chance to win up to PHP 150 Lazada voucher when you buy at least PHP 300 regular Smart load on the Metrobank App. Just log in to your account, and tap 'Send Load"". Promo runs from Feb 15 to Mar 15, 2026. T&Cs apply. Metrobank is BSP-regulated. DT1248176",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
21,precleaned\Bernard - April 21 - 22 Imgs\IMG_8479.PNG,Metrobank,"Wed, 18 Feb at 7:29PM","Save up to PHP 60K with our Goals Made Real promo for car and home loans. Apply by May 29, 2026. T&Cs apply. DT1248563, 248558. Metrobank is BSP-regulated.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
22,precleaned\Bernard - April 21 - 22 Imgs\IMG_8480.PNG,Metrobank,"Thu, 4 Dec at 8:12 PM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 6,600.00. Message from sender: Fees. Thank you.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
23,precleaned\Bernard - April 21 - 22 Imgs\IMG_8481.PNG,Unknown,,"REMINDER: We will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (<PHONE>. Thank you.",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
24,precleaned\Bernard - April 21 - 22 Imgs\IMG_8481.PNG,Metrobank,"Fri, 17 Oct at 11:53AM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 7,500.00. Message from sender: Personal Expense. Thank you.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
25,precleaned\Bernard - April 21 - 22 Imgs\IMG_8481.PNG,Metrobank,"Sat, 25 Oct at 1:49PM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,840.00. Message from sender: Personal Expense. Thank you.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
26,precleaned\Bernard - April 21 - 22 Imgs\IMG_8482.PNG,Metrobank,,"Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,420.00. Message from sender: Personal Expense. Thank you.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
27,precleaned\Bernard - April 21 - 22 Imgs\IMG_8482.PNG,Unknown,"Fri, 3 Oct at 11:11AM","To improve your experience, we will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (<PHONE>. Thank you.",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
28,precleaned\Bernard - April 21 - 22 Imgs\IMG_8483.PNG,Metrobank,"Mon, 15 Sep at 3:08PM",Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 300.00. Message from sender: Fees. Thank you.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
29,precleaned\Bernard - April 21 - 22 Imgs\IMG_8484.PNG,Metrobank,"Sun, 25 May at 5:15PM",Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 500.00. Message from sender: Personal Expense. Thank you.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
30,precleaned\Bernard - April 21 - 22 Imgs\IMG_8484.PNG,Metrobank,"Thu, 5 Jun at 11:53PM",Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 400.00. Message from sender: Fees. Thank you.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
31,precleaned\Bernard - April 21 - 22 Imgs\IMG_8484.PNG,Metrobank,"Sat, 7 Jun at 5:24 PM","Greetings from Metrobank! Jocelyn Anne Barce just sent you PHP 5,860.00. Message from sender: Personal Expense. Thank you.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
32,precleaned\Bernard - April 21 - 22 Imgs\IMG_8485.PNG,Unknown,,21 Nov 2024 at 1:07PM Dr. Kimberly Mae Ong is IN and will now be seeing patients. Download the Now Serving App with invite code j2Vt3uj7 at <URL> j2Vt3uj7 and wait for your turn. Thanks for using NowServing! Rate your recent consultation with Dr. Ong now hitps:// .<URL> mgewUYAQdaijcVhc7,<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
33,precleaned\Bernard - April 21 - 22 Imgs\IMG_8485.PNG,Unknown,"Wed, 18 Mar at 4:21PM",Your Now Serving OTP Code is <OTP>,<OTP>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
34,precleaned\Bernard - April 21 - 22 Imgs\IMG_8485.PNG,Unknown,"Wed, 18 Mar at 11:38 PM","Accepted! Your Dr Santiago appt is Mar20,2026. View details with NowServing code $1a6Fij5 at https:// <URL>",<URL>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
35,precleaned\Bernard - April 21 - 22 Imgs\IMG_8486.PNG,Maya,,"MayaRewards ) Nice! You received a P20 voucher from Maya. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
36,precleaned\Bernard - April 21 - 22 Imgs\IMG_8486.PNG,Maya,"Wed, 24 Dec at 1:58AM","Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
37,precleaned\Bernard - April 21 - 22 Imgs\IMG_8486.PNG,Maya,"Mon, 16 Mar at 10:38 PM","Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires! Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
38,precleaned\Bernard - April 21 - 22 Imgs\IMG_8487(1).PNG,Grab,,"21 Jan 2024 at 1:55PM Grab a P20 voucher now! Explore the app - load, save, invest, send money, pay bills, shop & more. Hurry before it expires!",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
39,precleaned\Bernard - April 21 - 22 Imgs\IMG_8487(2).PNG,Maya,,27 Jan 2024 at 11:59AM Easy 10% cashback with Maya! Just use Maya in stores or when shopping online in the next 7 days. Check your Maya Messages now to know more!,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
40,precleaned\Bernard - April 21 - 22 Imgs\IMG_8487.PNG,Unknown,,"25 Jan 2024 at 3:29PM Enjoy a P20 FREE Voucher. Explore load, savings, crypto, bills payment and more! Open the app now!",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
41,precleaned\Bernard - April 26 - 78 imgs\IMG_1883(1).jpg,Unknown,Yesterday 12:52PM,"J&T DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount ts 835.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
42,precleaned\Bernard - April 26 - 78 imgs\IMG_1883.jpg,Unknown,,"J&T DELIVERY! TN: JT<ACCT> Rider: THRIX PUAL A TAN, | have try calling your number but no one answers, kindly call me back when you are available. For further concern, you may call (<PHONE>. Thanks and be Safe!",<PHONE>; <ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
43,precleaned\Bernard - April 26 - 78 imgs\IMG_1884.jpg,Unknown,,"Wednesday 1:05PM J&T DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount is 999.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
44,precleaned\Bernard - April 26 - 78 imgs\IMG_1885.jpg,Unknown,"Wed, Feb 25 at 8:45AM","J&T DELIVERY! TN: <PHONE>, Rider: THRIX PUAL A TAN. Your COD amount is 308.79. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
45,precleaned\Bernard - April 26 - 78 imgs\IMG_1886.jpg,Unknown,"Fri, Feb 20 at 12:49PM","J&T DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount is 669.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
46,precleaned\Bernard - April 26 - 78 imgs\IMG_1887.jpg,Unknown,"Sun, Feb 15 at 8:34AM","J&T DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount is 879.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
47,precleaned\Bernard - April 26 - 78 imgs\IMG_1888(1).jpg,Unknown,Friday 6:04 PM,"Don't miss your chance to see Laufey live in Manila, thanks to Visa! Use your RCBC Visa Credit Card and get 1 entry for every P1,000 you spend, OR be one of the 10 Top Spenders to win automatically! Promo runs until May 10. Register now at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
48,precleaned\Bernard - April 26 - 78 imgs\IMG_1888.jpg,Unknown,Yesterday 10:36 AM,"Don't miss your chance to earn Mom her Mother's Day treat! Use your RCBC Premium Card at Paper Moon Cafe by April 30 to qualify for FREE 3 Hokkaido Cupcakes (min. P2,000 spend) or a Small Mille Crepe (min. P5,000 spend). Redeem May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1251767S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
49,precleaned\Bernard - April 26 - 78 imgs\IMG_1889(1).jpg,Unknown,,"Thursday 4:47 PM As of 03/25, you have 6,182 Rewards Points (worth Php 1,546) on your Card ending in <ACCT>, JOCELYN ANNE! Redeem these for shopping vouchers or cash credit by calling (<PHONE>. Keep using your Landmark Anson's Credit Card to enjoy unlimited 3% REBATE at Landmark plus rewards points on all purchases. T&Cs apply.",<ACCT>; <PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
50,precleaned\Bernard - April 26 - 78 imgs\IMG_1889.jpg,Unknown,,"Wednesday 5:44PM Still dreaming of the F1 grid? Your RCBC Visa Infinite is your ticket! Every P1,000 spend earns you an entry to win Monza Barcade watch party passes to Austria or Madrid. If you haven't registered, visit rcbccredit and search: FIVIVS. Promo runs until 08/31/26. DTI251184S 26.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
51,precleaned\Bernard - April 26 - 78 imgs\IMG_1890(1).jpg,Unknown,,"Tuesday 6:07PM Beat the summer heat & kickstart your adventures with up to P1,132,000, JOCELYN ANNE! Convert your available limit to RCBC InstaCash on your card ending in <ACCT> & pay only P26,174.26/mo. at a low add-on rate of 0.62%/mo. for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until May 10, 2026. DT1245989S26",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
52,precleaned\Bernard - April 26 - 78 imgs\IMG_1890.jpg,Unknown,Monday 5:22PM ™N,"Stay cool this summer! Get up to PHP20,000 OFF the SRP of select aircon models at 0% installment for up to 24 months, plus Buy Now, Pay Later using your RCBC Credit Card at Western Appliances. Promo valid until May 31, 2026. Visit the RCBC Credit Website & search: WESAPP26 for details. D252780S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
53,precleaned\Bernard - April 26 - 78 imgs\IMG_1891(1).jpg,Unknown,"Sun, Apr 19 at 2:03PM","Your Apr-2026 Statement Balance for your Card ending in <ACCT> is Php 53,529.43. Min. Amt Due is Php 1,606.00. Due on 05/14. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
54,precleaned\Bernard - April 26 - 78 imgs\IMG_1891.jpg,Unknown,"Sat, Apr 18 at 10:09AM AN","Make it a summer to remember, JOCELYN ANNE! Get as much as P1,132,000 when you convert your unused limit to RCBC InstaCash on your Card ending in <ACCT> & pay P26,174.26/mo. at an add-on rate of only 0.62%/mo. for up to 60 mos. Visit the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until May 10, 2026. DTI245989S26",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
55,precleaned\Bernard - April 26 - 78 imgs\IMG_1892(1).jpg,Unknown,"Fri, Apr 17 at 6:00 PM","Don't miss out on a sweet surprise for Mom! Use your RCBC Premium Credit Card at Paper Moon Cafe until Apr. 30 to earn her favorite treats. Get 3 Hokkaido Cupcakes (min. P2,000 spend) or a Small Mille Crepe (min. P5,000 spend). Redeem May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
56,precleaned\Bernard - April 26 - 78 imgs\IMG_1892.jpg,Unknown,"Thu, Apr 16 at 5:28PM","Barefoot luxury in Siargao awaits. Enjoy an exclusive discount at Nay Palad Hideaway and all-inclusive island bliss w/ your RCBC Premium Credit Card. To book, call <PHONE> / <PHONE>. For details, visit the rcbccredit website, search NPH20. DTI246086S26. Offer until 6/30/26",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
57,precleaned\Bernard - April 26 - 78 imgs\IMG_1893(1).jpg,Unknown,"Wed, Apr 15 at 12:08PM","Your RCBC InstaCash of up to P1,132,000 is now ready, JOCELYN ANNE! Convert the credit limit of your card ending in <ACCT> for only 0.62% monthly add-on rate and pay just P26,174.26/mo. for up to 60 mos. Avail at the RCBC Credit website now: Search Promo ID: RRN & use code A28YUHYOSQ. Web-exclusive offer until May 10, 2026. DTI245989S26",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
58,precleaned\Bernard - April 26 - 78 imgs\IMG_1893.jpg,Unknown,,"JOCELYN ANNE, as of 03/19, you have 7,317 rewards pts w/ your RCBC Visa Infinite. Redeem from 3,300 points for cash credits, vouchers & more, via Erica at the RCBC Credit site or call the Premium Cards hotline. Maximize every spend with your Card: earn 1 pt/P30 spend, 3x pts local online, 5x intl. online/in-store.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
59,precleaned\Bernard - April 26 - 78 imgs\IMG_1894.jpg,Unknown,,"50% OFF at Marco Polo Ortigas! Savor a feast at Cucina, Lung Hin, Connect Lounge, Vu's Sky Bar, & Cafe Pronto with your RCBC Visa Infinite. Valid Mon-Fri until Apr. 30. Min. spend varies. Reserve your table by calling 7720 7777! Search MPO on the RCBC Credit site. T&Cs apply. DTI252812S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
60,precleaned\Bernard - April 26 - 78 imgs\IMG_1895(1).jpg,Unknown,"Fri, Apr 10 at 4:26PM","The new galaxy is here! Get the Samsung Galaxy S26 Series for as low as P2,430.27/mo. at 0% inst for 24mos w/ your RCBC Credit Card! Plus, bundle the Galaxy Buds4 to get 10% OFF your Buds. Offers, validity dates and partners vary. Visit the RCBC Credit website & search SAMS26L for details. T&Cs apply. D250155&251419S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
61,precleaned\Bernard - April 26 - 78 imgs\IMG_1895(2).jpg,Unknown,"Sun, Apr 12 at 4:08 PM","Your Apr-2026 Statement Balance for Card ending in <ACCT> is Php -2.96. Min. Amt Due is Php 0.00. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
62,precleaned\Bernard - April 26 - 78 imgs\IMG_1895.jpg,Unknown,"Thu, Apr 9 at 10:25AM","Payment of Pho20,020.00 made to Card end 4017 was posted on 04/08.",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
63,precleaned\Bernard - April 26 - 78 imgs\IMG_1896(1).jpg,Unknown,"Wed, Apr 8 at 6:30PM","We'd like to remind you that the due date for your card ending in <ACCT> is on 04/13. Your minimum amount due is Php1,305.00. Your total statement balance is Php43,500.10. If you have already paid prior to receiving this message, thank you for your payment.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
64,precleaned\Bernard - April 26 - 78 imgs\IMG_1896.jpg,Unknown,"Wed, Apr 8 at 5:08PM","Promo extended! Get Diamond Indulgence Annual Membership for P8,710.40 (from P10,888) with your RCBC Premium Credit Card. Enjoy a free night stay, up to 50% off dining, and more at Diamond Hotel. Offer now valid until June 30, 2026. Call <PHONE> or search DHPINDUL on the RCBC Credit Website. DTI246122S26.",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
65,precleaned\Bernard - April 26 - 78 imgs\IMG_1897(1).jpg,Unknown,"Mon, Apr 6 at 8:58AM","We'd like to remind you that the payment for your card ending in <ACCT> is due on 04/06. Your minimum amount due is Php601.00. Your statement balance is Php20,017.04. If you have already paid prior to receiving this message, thank you for your payment.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
66,precleaned\Bernard - April 26 - 78 imgs\IMG_1897.jpg,Unknown,"Wed, Apr 1 at 3:56PM","We'd like to remind you that the due date for your card ending in <ACCT> is on 04/06. Your minimum amount due Is Php601.00. Your total statement balance is Php20,017.04. If you have already paid prior to receiving this message, thank you for your payment.",<ACCT>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
67,precleaned\Bernard - April 26 - 78 imgs\IMG_1898(1).jpg,Unknown,"Tue, Mar 31 at 5:07PM","Indulge at Gloria Maris Greenhills, JOCELYN ANNE! Enjoy 50% OFF for a min. P5,000 spend with your RCBC Premium Credit Card from April 1-30, Mon.-Fri. Valid for Lunch (10:30AM-2:00PM) and Dinner (5:30PM-8:30PM). Search GMGH on the RCBC Credit website for details. T&Cs apply. DTI253026S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
68,precleaned\Bernard - April 26 - 78 imgs\IMG_1898.jpg,Unknown,"Wed, Apr 1 at 9:05AM","Race to Monza with your RCBC Visa Credit Card! Earn raffle entries for a minimum spend of P1,000 from Apr 1-Jun 30 fora chance to win a Race Experience for 2, plus watch party access. For more info and to register, search VCARB on the RCBC Credit website. DTI#247198",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
69,precleaned\Bernard - April 26 - 78 imgs\IMG_1899(1).jpg,Unknown,"Tue, Mar 31 at 12:08 PM","Good news! The RCBC Premium Credit Card STAY & DINE exclusive deal at DIAMOND HOTEL is extended until Jun.30! Don't miss your chance to get a DIAMOND INDULGENCE MEMBERSHIP for just P8,710.40 (orig. P10,888). Enjoy a FREE night's stay, up to 50% OFF on dining, and more! For details, contact <PHONE>. DTI246122S26.",<PHONE>,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
70,precleaned\Bernard - April 26 - 78 imgs\IMG_1899.jpg,Unknown,,"Mother's Day is sweeter w/ your RCBC Premium Credit Card! Enjoy a special gift at Paper Moon Café for purchases until Apr. 30! Get 3 Hokkaido Cupcakes for a P2,000 spend or a Small Original Mille Crepe for a P5,000 spend. Redeem from May 7-10 at any store. Details at the RCBC Credit site, search MDPM. DT1I251767S26",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
71,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Lazada,,Get extra 10% OFF (up to P600) at the Lazada Birthday,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
72,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,Sale with your RCBC Visa,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
73,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,Credit Card! Promo runs until,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
74,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,Mar. 27 for a min. spend of,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
75,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,"P5,000. Discount auto-applied",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
76,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,at checkout; no code needed.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
77,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,"For info, search LAZBDAY26 on",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
78,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,the RCBC Credit website.,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
79,precleaned\Bernard - April 26 - 78 imgs\IMG_1900(1).jpg,Unknown,,DTI#252224,,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
80,precleaned\Bernard - April 26 - 78 imgs\IMG_1900.jpg,Lazada,"Thu, Mar 26 at 6:11PM","Score deals at the Lazada Birthday Sale with your RCBC Mastercard Credit Card! Enjoy extra P500 OFF, min. spend P5,000. Offer is until Mar. 27, 2026. Discount auto-applied at checkout; no code needed. For info, search LAZBDAY26 on the RCBC Credit website. DTI#252224",,OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.
